price(mln),area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,Status,neworold,Furnished_status,type_of_building
2.5,650.0,19.2308654,73.0713733,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
7.7,901.0,19.298641666666697,72.87344,2.0,2.0,4.0,4.0,4.0,Ready to Move,Resale,SAS,Flat
62.5,2200.0,19.1184266,72.8958535,4.0,5.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
70.0,2100.0,19.004138,72.82701329999999,3.0,4.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
34.9,1665.0,19.23497672,72.84357917,3.0,3.0,3.0,3.0,3.0,Ready to Move,Resale,SAS,Flat
31.0,1240.0,19.1795597076416,72.86117553710938,3.0,3.0,1.0,1.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat
10.0,1250.0,19.271878,72.882739,2.0,2.0,4.0,4.0,4.0,Ready to Move,Resale,SAS,Flat
24.0,1050.0,19.09080696105957,72.90766906738281,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
40.0,1250.0,19.006180342037,72.8286779623475,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
22.5,1150.0,19.197503,72.8726781,2.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
15.0,726.0,19.128219604492188,72.86425018310547,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat
100.0,2400.0,19.14413,72.8241,4.0,5.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
24.5,1210.0,19.119373321533203,72.8637466430664,3.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
4.6,710.0,19.3602150985917,72.847646,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
19.0,1020.0,19.14609,72.84583,2.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,SAS,Flat
17.0,950.0,19.18045,72.94293,2.0,2.0,0.0,0.0,0.0,Ready to Move,New Property,SAS,Flat
23.4,1151.0,19.087609,72.89471800000001,2.0,3.0,0.0,0.0,0.0,Ready to Move,New Property,SAS,Flat
42.5,1600.0,19.142096,72.826173,3.0,3.0,1.0,1.0,1.0,Ready to Move,Resale,SAS,Flat
22.0,950.0,19.115297,72.839762,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
11.6,639.0,19.218124,72.994126,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
3.0,840.0,19.41919,72.79899999999999,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
11.5,700.0,19.20938,72.83113,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
22.5,800.0,19.21221923828125,72.82118225097656,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,Unfurnished,Flat
21.0,1270.0,19.058655107985302,72.89045381863271,2.0,2.0,0.0,0.0,0.0,Ready to Move,New Property,SAS,Flat
14.0,585.0,19.1152432,72.8872205,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
4.8,795.0,19.425021,72.8161,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
22.5,1090.0,19.144893600000003,72.8368073,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
16.5,700.0,18.992092,72.829684,2.0,2.0,0.0,0.0,0.0,SAS,Resale,Furnished,Flat
39.9,1480.0,19.140873000000003,72.828811,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
8.0,1500.0,19.39954,72.8604165,3.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
63.0,5800.0,19.1629924,72.83930190000001,3.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat
12.5,1140.0,19.282975,72.87361800000001,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
25.1,1115.0,19.100385,72.850466,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
20.0,1000.0,19.129737854003903,72.82915496826172,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat
23.5,930.0,18.9732608795166,72.80561828613281,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
13.5,825.0,19.152517,72.94255,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
13.5,965.0,19.1746739,72.94310379999999,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
16.0,950.0,19.1327295,72.83527,2.0,2.0,0.0,0.0,0.0,SAS,Resale,Unfurnished,Flat
25.5,1215.0,19.1547839,72.8540607,2.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,SAS,Flat
4.6,1400.0,19.4540588,72.7688226,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
55.0,2300.0,19.0689277,72.8004588,4.0,4.0,0.0,0.0,0.0,SAS,Resale,Semi-Furnished,Flat
40.0,1350.0,19.0128091,72.851598,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
200.0,1717.0,18.9547415270904,72.7973096297475,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
22.5,1000.0,19.233531951904297,72.83919525146484,3.0,3.0,1.0,1.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat
20.5,1360.0,19.12021420298,72.9299633704782,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
37.5,2075.0,19.1714,72.940339,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
11.0,1050.0,19.17792572,72.86920936,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
17.5,915.0,19.217309263073,72.8705672146112,2.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,SAS,Flat
18.5,800.0,19.177040100097656,72.84144592285156,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat
16.0,650.0,19.180237,72.85541490000001,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
26.0,1200.0,19.17231,72.87262,2.0,2.0,3.0,3.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat
